region_code,sgg_name,year,net_rate,population,pagerank_lag1,closeness,house_age,childcare_pk,pop_density,seoul_dist_km,ln_pop,fertility,doctor_per1000,aging_ratio,youth_ratio,fiscal_indep,employ_rate,biz_count,sewer_supply,academy_pk,culture_facility_count,senior_fac_pk,hospital_bed,extinction_risk
11350,노원구,2020,-18.22242021118965,523037.0,0.0077508610072603,272.4884407120839,36.1,21.2,14759.35979295601,12.6,13.1674,0.695,3.3,16.27644645322137,19.77064763936846,15.77,,37442.0,100.0,1.4,21.0,2.1,6.8,1.214678381807076
11350,노원구,2021,-19.05643538778289,510956.0,0.0080766729297921,255.9371557412985,38.4,21.6,14417.816275903471,12.6,13.144,0.701,3.4,17.258790857156278,19.707529205001595,15.86,53.900000000000006,37909.0,100.0,1.3,22.0,2.0,7.0,1.1418835402846288
11350,노원구,2022,-9.6777267367301,503734.0,0.007493735627081,227.69919854970888,47.0,21.8,14214.092293899786,12.6,13.1298,0.716,3.4,18.237168352407515,19.7574121313786,16.74,55.55,38018.0,100.0,1.4,19.0,2.0,7.1,1.083359639478812
11350,노원구,2023,-9.214934174740524,498213.0,0.0077121591418221,216.3949836759265,51.3,21.7,14058.277177408629,12.6,13.1188,0.673,3.5,19.313788853785724,19.72285002027241,16.49,56.65,38439.0,100.0,1.5,19.0,2.0,6.9,1.0211797472564017
11350,노원구,2024,-12.166995421854994,491247.0,0.0078981747290661,222.6713001061182,53.0,21.8,13860.243036084676,12.6,13.1047,0.671,3.2,20.431838908250008,19.58705175390027,16.59,56.6,38579.0,100.0,1.5,18.0,2.0,7.2,0.9586533959012066
11380,은평구,2017,-10.754035587948907,486794.0,0.0074942647091358,289.24695062981306,9.8,14.3,16385.206823459117,7.6,13.0956,0.814,1.9,15.207839028749268,20.283897739294776,19.05,,24561.0,100.0,1.1,12.0,1.6,6.8,1.3337790925423134
11380,은평구,2018,-8.340283569641368,483197.0,0.0075820483971885,303.30271122806954,11.5,14.8,16264.805057510595,7.6,13.0882,0.772,1.9,15.910454927379666,20.200621691314947,18.01,,24873.0,100.0,1.1,14.0,1.6,6.2,1.2696445063021111
11380,은평구,2019,-6.920371975201654,480032.0,0.0076384195186339,292.8071188827129,11.3,14.9,16156.480973368474,7.6,13.0816,0.697,2.5,16.70093514404218,20.389223240902187,17.46,,24681.0,100.0,1.1,16.0,1.5,7.8,1.220843208182612
11380,은평구,2020,0.4147258953598633,479835.0,0.0081930486091278,307.898569510499,12.4,15.2,16150.13019125031,7.6,13.0812,0.623,2.6,17.62789786510391,20.743754115989628,17.86,,36273.0,100.0,1.1,16.0,1.5,7.9,1.1767571082343204
11380,은평구,2021,-7.779306031814445,473307.0,0.0087172733847101,289.0229719196253,14.7,16.0,15930.619056955968,7.6,13.0675,0.604,2.7,18.37408199312076,20.85724306371327,18.38,55.35,36509.0,100.0,1.1,16.0,1.4,7.9,1.135144769220155
11380,은평구,2022,-7.54800255385156,466746.0,0.0074411003712522,263.78835147693667,16.7,16.2,15708.238760988665,7.6,13.0535,0.613,2.8,19.148489438603782,20.90768660537722,17.97,56.1,36430.0,100.0,1.1,16.0,1.4,8.0,1.0918713286713286
11380,은평구,2023,2.7229684855496283,466770.0,0.0078138485771101,245.70997626104509,18.5,16.0,15710.790165771708,7.6,13.0536,0.515,2.9,20.0329497762286,20.95610052895317,18.05,57.900000000000006,36201.0,100.0,1.2,16.0,1.4,7.6,1.0460816186850324
11380,은평구,2024,-10.034301037709444,460919.0,0.0081152441658681,244.666858577316,20.8,17.0,15513.8591432037,7.6,13.041,0.54,2.9,21.20085915126269,20.86587694176864,15.96,59.25,36093.0,100.0,1.2,15.0,1.4,7.6,0.9841995927097084
11410,서대문구,2017,-5.601023017902813,312800.0,0.0070851388513018,275.442104290512,16.8,12.1,17746.25379447443,3.7,12.6533,0.823,6.1,15.560052557376736,22.497050840630305,26.59,,19852.0,100.0,1.1,13.0,1.7,12.4,1.4458210059171597
11410,서대문구,2018,-8.45275576595244,310313.0,0.0068598326334293,285.0457040543196,17.2,12.4,17606.509943973415,3.7,12.6453,0.727,6.1,16.047616285439908,22.51364746675948,25.43,,19796.0,100.0,1.1,13.0,1.7,12.2,1.4029278284268445
11410,서대문구,2019,-3.064024538053052,309397.0,0.0065934799652114,274.8186470984963,17.0,12.8,17553.804791457896,3.7,12.6424,0.685,6.3,16.602563688194493,22.70312025287817,24.07,,20095.0,100.0,1.1,13.0,1.7,12.1,1.3674466593988477
11410,서대문구,2020,9.36980456349524,312173.0,0.0070044788462812,292.64202320132205,17.1,12.7,17710.5683193968,3.7,12.6513,0.685,6.4,17.124424199324736,23.175216385733595,23.35,,28769.0,100.0,1.1,14.0,1.7,12.0,1.3533428111788697
11410,서대문구,2021,-15.015468195880178,304819.0,0.0078207973802325,270.3700802947592,19.1,14.0,17293.33187937702,3.7,12.6275,0.635,6.9,17.6330293287842,23.41677055311332,23.51,53.0,28522.0,100.0,1.1,14.0,1.6,13.1,1.3280061024391152
